ID;Rules in Qradar;log source;enabled;created;modified;category;criticality;Rule;BB;BB2;BB3;BB4;BB5;SYSMON
14;Tool_Ruler_was_Detected_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;T1078 T1199;Medium;INC_0022700_common:Tool_Ruler_was_Detected_Windows;BB_eventtype:ProcessCreate;;;;;no
15;SOC_Export_Placeholder_001_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100001_common:SOC_Export_Placeholder_001_Windows;;;;;;no
16;SOC_Export_Placeholder_002_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100002_common:SOC_Export_Placeholder_002_Windows;;;;;;no
17;SOC_Export_Placeholder_003_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100003_common:SOC_Export_Placeholder_003_Windows;;;;;;no
18;SOC_Export_Placeholder_004_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100004_common:SOC_Export_Placeholder_004_Windows;;;;;;no
19;SOC_Export_Placeholder_005_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100005_common:SOC_Export_Placeholder_005_Windows;;;;;;no
20;SOC_Export_Placeholder_006_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100006_common:SOC_Export_Placeholder_006_Windows;;;;;;no
21;SOC_Export_Placeholder_007_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100007_common:SOC_Export_Placeholder_007_Windows;;;;;;no
22;SOC_Export_Placeholder_008_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100008_common:SOC_Export_Placeholder_008_Windows;;;;;;no
23;SOC_Export_Placeholder_009_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100009_common:SOC_Export_Placeholder_009_Windows;;;;;;no
24;SOC_Export_Placeholder_010_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100010_common:SOC_Export_Placeholder_010_Windows;;;;;;no
25;SOC_Export_Placeholder_011_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100011_common:SOC_Export_Placeholder_011_Windows;;;;;;no
26;SOC_Export_Placeholder_012_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100012_common:SOC_Export_Placeholder_012_Windows;;;;;;no
27;SOC_Export_Placeholder_013_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100013_common:SOC_Export_Placeholder_013_Windows;;;;;;no
28;SOC_Export_Placeholder_014_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100014_common:SOC_Export_Placeholder_014_Windows;;;;;;no
29;SOC_Export_Placeholder_015_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100015_common:SOC_Export_Placeholder_015_Windows;;;;;;no
30;SOC_Export_Placeholder_016_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100016_common:SOC_Export_Placeholder_016_Windows;;;;;;no
31;SOC_Export_Placeholder_017_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100017_common:SOC_Export_Placeholder_017_Windows;;;;;;no
32;SOC_Export_Placeholder_018_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100018_common:SOC_Export_Placeholder_018_Windows;;;;;;no
33;SOC_Export_Placeholder_019_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100019_common:SOC_Export_Placeholder_019_Windows;;;;;;no
34;SOC_Export_Placeholder_020_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100020_common:SOC_Export_Placeholder_020_Windows;;;;;;no
35;SOC_Export_Placeholder_021_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100021_common:SOC_Export_Placeholder_021_Windows;;;;;;no
36;SOC_Export_Placeholder_022_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100022_common:SOC_Export_Placeholder_022_Windows;;;;;;no
37;SOC_Export_Placeholder_023_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100023_common:SOC_Export_Placeholder_023_Windows;;;;;;no
38;SOC_Export_Placeholder_024_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100024_common:SOC_Export_Placeholder_024_Windows;;;;;;no
39;SOC_Export_Placeholder_025_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100025_common:SOC_Export_Placeholder_025_Windows;;;;;;no
40;SOC_Export_Placeholder_026_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100026_common:SOC_Export_Placeholder_026_Windows;;;;;;no
41;SOC_Export_Placeholder_027_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100027_common:SOC_Export_Placeholder_027_Windows;;;;;;no
42;SOC_Export_Placeholder_028_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100028_common:SOC_Export_Placeholder_028_Windows;;;;;;no
43;SOC_Export_Placeholder_029_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100029_common:SOC_Export_Placeholder_029_Windows;;;;;;no
44;SOC_Export_Placeholder_030_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100030_common:SOC_Export_Placeholder_030_Windows;;;;;;no
45;SOC_Export_Placeholder_031_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100031_common:SOC_Export_Placeholder_031_Windows;;;;;;no
46;SOC_Export_Placeholder_032_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100032_common:SOC_Export_Placeholder_032_Windows;;;;;;no
47;SOC_Export_Placeholder_033_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100033_common:SOC_Export_Placeholder_033_Windows;;;;;;no
48;SOC_Export_Placeholder_034_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100034_common:SOC_Export_Placeholder_034_Windows;;;;;;no
49;SOC_Export_Placeholder_035_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100035_common:SOC_Export_Placeholder_035_Windows;;;;;;no
50;SOC_Export_Placeholder_036_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100036_common:SOC_Export_Placeholder_036_Windows;;;;;;no
51;SOC_Export_Placeholder_037_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100037_common:SOC_Export_Placeholder_037_Windows;;;;;;no
52;SOC_Export_Placeholder_038_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100038_common:SOC_Export_Placeholder_038_Windows;;;;;;no
53;SOC_Export_Placeholder_039_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100039_common:SOC_Export_Placeholder_039_Windows;;;;;;no
54;SOC_Export_Placeholder_040_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100040_common:SOC_Export_Placeholder_040_Windows;;;;;;no
55;SOC_Export_Placeholder_041_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100041_common:SOC_Export_Placeholder_041_Windows;;;;;;no
56;SOC_Export_Placeholder_042_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100042_common:SOC_Export_Placeholder_042_Windows;;;;;;no
57;SOC_Export_Placeholder_043_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100043_common:SOC_Export_Placeholder_043_Windows;;;;;;no
58;SOC_Export_Placeholder_044_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100044_common:SOC_Export_Placeholder_044_Windows;;;;;;no
59;SOC_Export_Placeholder_045_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100045_common:SOC_Export_Placeholder_045_Windows;;;;;;no
60;SOC_Export_Placeholder_046_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100046_common:SOC_Export_Placeholder_046_Windows;;;;;;no
61;SOC_Export_Placeholder_047_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100047_common:SOC_Export_Placeholder_047_Windows;;;;;;no
62;SOC_Export_Placeholder_048_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100048_common:SOC_Export_Placeholder_048_Windows;;;;;;no
63;SOC_Export_Placeholder_049_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100049_common:SOC_Export_Placeholder_049_Windows;;;;;;no
64;SOC_Export_Placeholder_050_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100050_common:SOC_Export_Placeholder_050_Windows;;;;;;no
65;SOC_Export_Placeholder_051_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100051_common:SOC_Export_Placeholder_051_Windows;;;;;;no
66;SOC_Export_Placeholder_052_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100052_common:SOC_Export_Placeholder_052_Windows;;;;;;no
67;SOC_Export_Placeholder_053_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100053_common:SOC_Export_Placeholder_053_Windows;;;;;;no
68;SOC_Export_Placeholder_054_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100054_common:SOC_Export_Placeholder_054_Windows;;;;;;no
69;SOC_Export_Placeholder_055_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100055_common:SOC_Export_Placeholder_055_Windows;;;;;;no
70;SOC_Export_Placeholder_056_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100056_common:SOC_Export_Placeholder_056_Windows;;;;;;no
71;SOC_Export_Placeholder_057_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100057_common:SOC_Export_Placeholder_057_Windows;;;;;;no
72;SOC_Export_Placeholder_058_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100058_common:SOC_Export_Placeholder_058_Windows;;;;;;no
73;SOC_Export_Placeholder_059_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100059_common:SOC_Export_Placeholder_059_Windows;;;;;;no
74;SOC_Export_Placeholder_060_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100060_common:SOC_Export_Placeholder_060_Windows;;;;;;no
75;SOC_Export_Placeholder_061_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100061_common:SOC_Export_Placeholder_061_Windows;;;;;;no
76;SOC_Export_Placeholder_062_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100062_common:SOC_Export_Placeholder_062_Windows;;;;;;no
77;SOC_Export_Placeholder_063_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100063_common:SOC_Export_Placeholder_063_Windows;;;;;;no
78;SOC_Export_Placeholder_064_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100064_common:SOC_Export_Placeholder_064_Windows;;;;;;no
79;SOC_Export_Placeholder_065_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100065_common:SOC_Export_Placeholder_065_Windows;;;;;;no
80;SOC_Export_Placeholder_066_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100066_common:SOC_Export_Placeholder_066_Windows;;;;;;no
81;SOC_Export_Placeholder_067_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100067_common:SOC_Export_Placeholder_067_Windows;;;;;;no
82;SOC_Export_Placeholder_068_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100068_common:SOC_Export_Placeholder_068_Windows;;;;;;no
83;SOC_Export_Placeholder_069_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100069_common:SOC_Export_Placeholder_069_Windows;;;;;;no
84;SOC_Export_Placeholder_070_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100070_common:SOC_Export_Placeholder_070_Windows;;;;;;no
85;SOC_Export_Placeholder_071_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100071_common:SOC_Export_Placeholder_071_Windows;;;;;;no
86;SOC_Export_Placeholder_072_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100072_common:SOC_Export_Placeholder_072_Windows;;;;;;no
87;SOC_Export_Placeholder_073_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100073_common:SOC_Export_Placeholder_073_Windows;;;;;;no
88;SOC_Export_Placeholder_074_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100074_common:SOC_Export_Placeholder_074_Windows;;;;;;no
89;SOC_Export_Placeholder_075_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100075_common:SOC_Export_Placeholder_075_Windows;;;;;;no
90;SOC_Export_Placeholder_076_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100076_common:SOC_Export_Placeholder_076_Windows;;;;;;no
91;SOC_Export_Placeholder_077_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100077_common:SOC_Export_Placeholder_077_Windows;;;;;;no
92;SOC_Export_Placeholder_078_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100078_common:SOC_Export_Placeholder_078_Windows;;;;;;no
93;SOC_Export_Placeholder_079_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100079_common:SOC_Export_Placeholder_079_Windows;;;;;;no
94;SOC_Export_Placeholder_080_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100080_common:SOC_Export_Placeholder_080_Windows;;;;;;no
95;SOC_Export_Placeholder_081_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100081_common:SOC_Export_Placeholder_081_Windows;;;;;;no
96;SOC_Export_Placeholder_082_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100082_common:SOC_Export_Placeholder_082_Windows;;;;;;no
97;SOC_Export_Placeholder_083_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100083_common:SOC_Export_Placeholder_083_Windows;;;;;;no
98;SOC_Export_Placeholder_084_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100084_common:SOC_Export_Placeholder_084_Windows;;;;;;no
99;SOC_Export_Placeholder_085_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100085_common:SOC_Export_Placeholder_085_Windows;;;;;;no
100;SOC_Export_Placeholder_086_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100086_common:SOC_Export_Placeholder_086_Windows;;;;;;no
101;SOC_Export_Placeholder_087_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100087_common:SOC_Export_Placeholder_087_Windows;;;;;;no
102;SOC_Export_Placeholder_088_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100088_common:SOC_Export_Placeholder_088_Windows;;;;;;no
103;SOC_Export_Placeholder_089_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100089_common:SOC_Export_Placeholder_089_Windows;;;;;;no
104;SOC_Export_Placeholder_090_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100090_common:SOC_Export_Placeholder_090_Windows;;;;;;no
105;SOC_Export_Placeholder_091_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100091_common:SOC_Export_Placeholder_091_Windows;;;;;;no
106;SOC_Export_Placeholder_092_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100092_common:SOC_Export_Placeholder_092_Windows;;;;;;no
107;SOC_Export_Placeholder_093_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100093_common:SOC_Export_Placeholder_093_Windows;;;;;;no
108;SOC_Export_Placeholder_094_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100094_common:SOC_Export_Placeholder_094_Windows;;;;;;no
109;SOC_Export_Placeholder_095_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100095_common:SOC_Export_Placeholder_095_Windows;;;;;;no
110;SOC_Export_Placeholder_096_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100096_common:SOC_Export_Placeholder_096_Windows;;;;;;no
111;SOC_Export_Placeholder_097_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100097_common:SOC_Export_Placeholder_097_Windows;;;;;;no
112;SOC_Export_Placeholder_098_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100098_common:SOC_Export_Placeholder_098_Windows;;;;;;no
113;SOC_Export_Placeholder_099_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100099_common:SOC_Export_Placeholder_099_Windows;;;;;;no
114;SOC_Export_Placeholder_100_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100100_common:SOC_Export_Placeholder_100_Windows;;;;;;no
115;SOC_Export_Placeholder_101_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100101_common:SOC_Export_Placeholder_101_Windows;;;;;;no
116;SOC_Export_Placeholder_102_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100102_common:SOC_Export_Placeholder_102_Windows;;;;;;no
117;SOC_Export_Placeholder_103_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100103_common:SOC_Export_Placeholder_103_Windows;;;;;;no
118;SOC_Export_Placeholder_104_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100104_common:SOC_Export_Placeholder_104_Windows;;;;;;no
119;SOC_Export_Placeholder_105_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100105_common:SOC_Export_Placeholder_105_Windows;;;;;;no
120;SOC_Export_Placeholder_106_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100106_common:SOC_Export_Placeholder_106_Windows;;;;;;no
121;SOC_Export_Placeholder_107_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100107_common:SOC_Export_Placeholder_107_Windows;;;;;;no
122;SOC_Export_Placeholder_108_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100108_common:SOC_Export_Placeholder_108_Windows;;;;;;no
123;SOC_Export_Placeholder_109_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100109_common:SOC_Export_Placeholder_109_Windows;;;;;;no
124;SOC_Export_Placeholder_110_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100110_common:SOC_Export_Placeholder_110_Windows;;;;;;no
125;SOC_Export_Placeholder_111_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100111_common:SOC_Export_Placeholder_111_Windows;;;;;;no
126;SOC_Export_Placeholder_112_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100112_common:SOC_Export_Placeholder_112_Windows;;;;;;no
127;SOC_Export_Placeholder_113_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100113_common:SOC_Export_Placeholder_113_Windows;;;;;;no
128;SOC_Export_Placeholder_114_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100114_common:SOC_Export_Placeholder_114_Windows;;;;;;no
129;SOC_Export_Placeholder_115_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100115_common:SOC_Export_Placeholder_115_Windows;;;;;;no
130;SOC_Export_Placeholder_116_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100116_common:SOC_Export_Placeholder_116_Windows;;;;;;no
131;SOC_Export_Placeholder_117_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100117_common:SOC_Export_Placeholder_117_Windows;;;;;;no
132;SOC_Export_Placeholder_118_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100118_common:SOC_Export_Placeholder_118_Windows;;;;;;no
133;SOC_Export_Placeholder_119_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100119_common:SOC_Export_Placeholder_119_Windows;;;;;;no
134;SOC_Export_Placeholder_120_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100120_common:SOC_Export_Placeholder_120_Windows;;;;;;no
135;SOC_Export_Placeholder_121_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100121_common:SOC_Export_Placeholder_121_Windows;;;;;;no
136;SOC_Export_Placeholder_122_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100122_common:SOC_Export_Placeholder_122_Windows;;;;;;no
137;SOC_Export_Placeholder_123_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100123_common:SOC_Export_Placeholder_123_Windows;;;;;;no
138;SOC_Export_Placeholder_124_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100124_common:SOC_Export_Placeholder_124_Windows;;;;;;no
139;SOC_Export_Placeholder_125_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100125_common:SOC_Export_Placeholder_125_Windows;;;;;;no
140;SOC_Export_Placeholder_126_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100126_common:SOC_Export_Placeholder_126_Windows;;;;;;no
141;SOC_Export_Placeholder_127_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100127_common:SOC_Export_Placeholder_127_Windows;;;;;;no
142;SOC_Export_Placeholder_128_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100128_common:SOC_Export_Placeholder_128_Windows;;;;;;no
143;SOC_Export_Placeholder_129_Windows;Microsoft Windows Security Event Log;true;2020-09-24;2023-03-30;;Medium;INC_0100129_common:SOC_Export_Placeholder_129_Windows;;;;;;no
