asset_id,name,asset_type,environment,owner,security_owner,engineering_owner,psirt_owner,ip_addresses,domains,ports,technologies,product_family,product_name,product_line,component_name,component_type,component_version,firmware_version,driver_branch,sdk_version,container_image,suppliers,dependencies,sbom_id,purl,cpe,deployment_model,exposure,reachable_from,trust_boundary,required_privilege,customer_exposure,internet_facing,multi_tenant,cloud_relevant,telemetry_sources,detection_available,mitigation_available,patch_status,supported_status,criticality,tags
asset-011,NVIDIA GPU driver fleet,gpu_driver,production,AI Infrastructure,Product Security,Driver Engineering,PSIRT,"10.60.10.0/24","","","linux;nvidia-driver;cuda",GPU Driver,NVIDIA GPU Driver,AI Infrastructure,nvidia-kernel-driver,kernel_driver,555.42,,R555,,,"nvidia","linux-kernel;cuda",sbom-driver-555,"pkg:generic/nvidia-driver@555.42","cpe:2.3:a:nvidia:gpu_driver:555.42:*:*:*:*:*:*:*",customer_host,internal_compute,workload_network,user_to_kernel,user,customer_environment,false,true,true,"linux_auditd;kernel_log;edr;gpu_telemetry;siem",partial,yes,patch_available,supported,critical,"asset:gpu-driver;vendor:nvidia;trust:user_to_kernel;telemetry:kernel"
asset-012,CUDA runtime library,cuda_sdk,production,AI Platform,Product Security,CUDA Engineering,PSIRT,"10.60.20.0/24","","","cuda;linux;python",CUDA,CUDA Toolkit,AI SDK,libcuda,sdk_library,12.6,,R555,12.6,,"nvidia","glibc;openssl;python",sbom-cuda-12-6,"pkg:generic/cuda@12.6","cpe:2.3:a:nvidia:cuda_toolkit:12.6:*:*:*:*:*:*:*",customer_host,internal_compute,workload_network,workload_to_gpu_memory,user,customer_environment,false,true,true,"application_log;gpu_telemetry;edr;siem",partial,yes,patched,supported,high,"asset:sdk;vendor:nvidia;technology:cuda;telemetry:gpu"
asset-013,NGC inference container,container_image,production,AI Platform,Product Security,Container Engineering,PSIRT,"10.60.30.0/24","","","docker;kubernetes;cuda;tensorrt",NGC Container,Inference Runtime Container,AI Container,tensorrt-container,container_image,24.06,,R555,10.0,nvcr.io/example/inference:24.06,"nvidia;ubuntu","cuda;tensorrt;openssl;python",sbom-ngc-24-06,"pkg:docker/nvcr.io/example/inference@24.06","cpe:2.3:a:example:inference_container:24.06:*:*:*:*:*:*:*",kubernetes,internal_service,cluster_network,container_to_host,container_user,customer_environment,false,true,true,"container_runtime;kubernetes_audit;edr;siem",yes,yes,patched,supported,high,"asset:container;vendor:nvidia;runtime:ai;telemetry:container"
asset-014,BlueField DPU firmware,dpu_firmware,production,Data Center Networking,Product Security,Firmware Engineering,PSIRT,"10.70.0.0/24","","","bluefield;dpu;firmware;doca",BlueField,BlueField DPU,Data Center Infrastructure,bluefield-firmware,dpu_firmware,4.8.1,4.8.1,,2.9,,"nvidia","uefi;openssl",sbom-bf-fw-4-8,"pkg:generic/bluefield-firmware@4.8.1","cpe:2.3:o:nvidia:bluefield_firmware:4.8.1:*:*:*:*:*:*:*",appliance,internal_datacenter,management_network,host_to_firmware,admin,customer_environment,false,true,true,"dpu_telemetry;firmware_log;edr;siem",partial,yes,patch_available,supported,critical,"asset:dpu;firmware:true;trust:host_to_firmware;telemetry:firmware"
asset-015,ConnectX NIC firmware,nic_firmware,production,Data Center Networking,Product Security,Firmware Engineering,PSIRT,"10.70.10.0/24","","","connectx;nic;firmware",ConnectX,ConnectX NIC,Data Center Networking,connectx-firmware,nic_firmware,28.40.1000,28.40.1000,,,,nvidia,"uefi;openssl",sbom-cx-fw-28-40,"pkg:generic/connectx-firmware@28.40.1000","cpe:2.3:o:nvidia:connectx_firmware:28.40.1000:*:*:*:*:*:*:*",appliance,internal_datacenter,management_network,host_to_firmware,admin,customer_environment,false,true,false,"nic_telemetry;firmware_log;netflow;siem",partial,yes,patched,supported,high,"asset:nic;firmware:true;telemetry:netflow"
asset-016,BMC management controller,bmc_component,production,Hardware Platform,Product Security,Hardware Engineering,PSIRT,"10.80.10.15","bmc-node-15.mgmt.example.internal","443;623","bmc;redfish;ipmi",Firmware,BMC Controller,Server Management,bmc-redfish,bmc_component,3.2.7,3.2.7,,,,hardware-vendor,"redfish;openssl;busybox",sbom-bmc-3-2,"pkg:generic/bmc-firmware@3.2.7","cpe:2.3:o:hardware_vendor:bmc_firmware:3.2.7:*:*:*:*:*:*:*",appliance,management_network,admin_vpn,network_to_management_plane,admin,internal_platform,false,false,false,"redfish_log;ipmi_log;network_flow;siem",partial,yes,patch_available,supported,critical,"asset:bmc;firmware:true;management:true;telemetry:redfish"
asset-017,Open source compression library,open_source_dependency,production,Core Libraries,Product Security,Platform Engineering,PSIRT,"","","","zlib;c;linux",Open Source Dependency,zlib,Shared Dependency,zlib,open_source_dependency,1.3.1,,,,,"zlib-community","glibc",sbom-shared-libs-2026-07,"pkg:generic/zlib@1.3.1","cpe:2.3:a:zlib:zlib:1.3.1:*:*:*:*:*:*:*",software_dependency,build_and_runtime,build_pipeline,supplier_to_build_pipeline,none,customer_shipped,false,false,true,"sbom_scan;dependency_scan;build_log;siem",yes,yes,patched,supported,medium,"asset:dependency;oss:true;supply-chain:dependency;telemetry:sbom"
asset-018,Third-party Python package,open_source_dependency,production,Core Libraries,Product Security,Platform Engineering,PSIRT,"","","","python;pypi",Open Source Dependency,Requests Library,Shared Dependency,requests,open_source_dependency,2.32.3,,,,,"pypi","urllib3;certifi;idna;charset-normalizer",sbom-python-2026-07,"pkg:pypi/requests@2.32.3","cpe:2.3:a:python-requests:requests:2.32.3:*:*:*:*:*:*:*",software_dependency,build_and_runtime,build_pipeline,supplier_to_build_pipeline,none,customer_shipped,false,false,true,"sbom_scan;dependency_scan;pip_audit;siem",yes,yes,patched,supported,medium,"asset:dependency;ecosystem:pypi;supply-chain:dependency"
asset-019,Customer telemetry collector,agent,production,Telemetry Team,Product Security,Agent Engineering,PSIRT,"10.90.10.25","collector.example.internal","443;6514","syslog;otel;go",Telemetry,Collector Agent,Observability,telemetry-collector,user_mode_driver,1.4.0,,,"go-1.23",ghcr.io/example/collector:1.4.0,"internal;otel","opentelemetry;openssl",sbom-collector-1-4,"pkg:docker/ghcr.io/example/collector@1.4.0","cpe:2.3:a:example:telemetry_collector:1.4.0:*:*:*:*:*:*:*",customer_host,internal_service,customer_network,host_to_collector,service_account,customer_environment,false,false,true,"collector_log;syslog;otel_trace;siem",yes,yes,under_review,supported,high,"asset:telemetry;agent:true;telemetry:syslog"
asset-020,Partner SFTP drop zone,file_transfer_service,production,Partner Operations,Infrastructure Security,Integration Engineering,PSIRT,"203.0.113.30","sftp.example.com","22","linux;openssh;sftp",Integration Platform,Partner SFTP,Partner Exchange,sftp-service,cloud_service,9.7,,,"openssh-9.7",,"openssh","openssl;zlib",sbom-sftp-2026-07,"pkg:generic/openssh@9.7","cpe:2.3:a:openbsd:openssh:9.7:*:*:*:*:*:*:*",private_cloud,external_partner,partner_network,network_to_file_exchange,valid_user,external_partner,true,false,false,"ssh_auth;linux_auditd;file_integrity;siem",yes,yes,patched,supported,high,"asset:sftp;partner:true;exposure:internet;telemetry:ssh"
asset-021,Email security gateway,email_gateway,production,Messaging Team,Messaging Security,IT Engineering,PSIRT,"198.51.100.40","mailgw.example.com","25;587;443","smtp;dkim;dmarc;antispam",Messaging,Email Gateway,Corporate IT,email-gateway,management_interface,14.1.0,14.1.0,,,,security-vendor,"openssl;spamassassin",sbom-mailgw-2026-07,,"cpe:2.3:a:security_vendor:email_gateway:14.1.0:*:*:*:*:*:*:*",appliance,external_internet,public_internet,network_to_mail_gateway,none,employee,true,false,false,"mail_gateway;email_auth;firewall_traffic;siem",yes,yes,patched,supported,critical,"asset:email;phishing:relevant;telemetry:mail"
asset-022,Identity provider,identity_provider,production,Identity Team,Identity Security,IT Engineering,PSIRT,"10.100.10.10","idp.example.com","443","oidc;saml;mfa;ldap",Identity Platform,Corporate IdP,Identity,idp-service,cloud_service,2026.07,,,"idp-2026.07",,"identity-vendor","openssl;ldap",sbom-idp-2026-07,,"cpe:2.3:a:identity_vendor:idp:2026.07:*:*:*:*:*:*:*",saas,external_internet,public_internet,identity_boundary,valid_user,employee,true,true,true,"idp_auth;mfa_log;windows_security;siem",yes,yes,patched,supported,critical,"asset:identity;auth:mfa;telemetry:idp;criticality:critical"
asset-023,Source code repository,source_control,production,Engineering Platform,Product Security,Developer Platform,PSIRT,"10.110.10.20","git.example.internal","443;22","git;ssh;oauth;ci",Developer Platform,Git Repository,Source Control,git-server,cloud_service,2026.07,,,"git-2.45",,"git","openssh;nginx;postgresql",sbom-git-2026-07,"pkg:generic/git@2.45","cpe:2.3:a:git:git:2.45:*:*:*:*:*:*:*",private_cloud,internal_developer,developer_vpn,supplier_to_build_pipeline,developer_account,internal_build,false,false,true,"git_audit;ssh_auth;edr;siem",yes,yes,patched,supported,critical,"asset:source-code;supply-chain:source;telemetry:audit"
asset-024,Artifact registry,artifact_registry,production,Build Engineering,Product Security,Build Engineering,PSIRT,"10.110.10.30","registry.example.internal","443","oci-registry;docker;cosign",Build Platform,Artifact Registry,Supply Chain,artifact-registry,cloud_service,2026.07,,,"registry-2.8",registry:2.8,"cncf","oras;cosign",sbom-registry-2026-07,"pkg:docker/registry@2.8","cpe:2.3:a:docker:distribution:2.8:*:*:*:*:*:*:*",private_cloud,internal_build,build_network,supplier_to_build_pipeline,service_account,internal_build,false,false,true,"registry_audit;docker_events;cosign_log;siem",yes,yes,patched,supported,critical,"asset:registry;supply-chain:artifact;telemetry:registry"
asset-025,OT management jump host,jump_host,production,OT Security,Endpoint Security,OT Engineering,PSIRT,"10.120.10.5","","3389;22","windows;rdp;ssh;sysmon",OT Platform,OT Jump Host,Industrial Access,jump-host,management_interface,Windows Server 2025,,,"windows-server-2025",,"microsoft","defender;sysmon",sbom-ot-jump-2026-07,,"cpe:2.3:o:microsoft:windows_server_2025:*:*:*:*:*:*:*:*",managed_endpoint,restricted_admin,admin_vpn,network_to_management_plane,admin,internal_ot,false,false,false,"windows_security;sysmon;defender_edr;rdp_log;siem",yes,yes,patched,supported,critical,"asset:ot;jump-host:true;telemetry:windows;criticality:critical"
